kic,period,epoch,sde,impact,depth,niter
2583669, 2.144117, 132.233160, 0.711053, 0.366824, 0.000236, 126
2718630, 1.866462, 130.686777, 0.135311, 0.615065, 0.000082, 201
2857323, 30.753176, 136.974065, 5.770088, 0.013628, 0.002533, 29
1430590, 1.027144, 120.432158, 0.032893, 0.239776, 0.000021, 93
2719928, 2.782617, 120.738514, 0.020099, 0.676038, 0.000045, 201
2450944, 1.071563, 170.282522, 0.295662, 0.555473, 0.000094, 61
2570760, 1.217373, 121.019325, 0.013522, 0.511146, 0.000020, 201
2712821, 1.190625, 120.717533, 0.004533, 0.677077, 0.000013, 151
2300603, 1.037511, 120.860371, 0.590069, 0.451096, 0.000100, 123
2579906, 1.118346, 119.839257, 0.014411, 0.645396, 0.000022, 48
2168420, 1.449768, 131.772912, 0.224418, 0.522158, 0.000074, 195
2972005, 1.012243, 121.259089, 0.268456, 0.419451, 0.000075, 189
2554867, 1.649331, 130.562650, 0.106214, 0.285595, 0.000074, 82
1162150, 1.671090, 121.719115, 0.218156, 0.201031, 0.000093, 107
1570023, 1.288988, 120.663451, 0.017634, 0.568039, 0.000025, 170
2583234, 1.186339, 120.574404, 0.012000, 0.728973, 0.000016, 176
2300529, 1.562609, 121.099432, 1.646591, 0.137720, 0.000246, 123
1718594, 1.087537, 120.252799, 0.008432, 0.578234, 0.000017, 89
1026294, 1.096933, 119.641855, 0.001470, 0.533257, 0.000007, 105
1576115, 1.650268, 120.509283, 0.330775, 0.290126, 0.000099, 125
2974815, 1.690105, 131.421738, 0.921444, 0.393090, 0.000210, 93
2717483, 1.054336, 120.290260, 0.375698, 0.239239, 0.000096, 164
1571152, 2.383192, 121.379440, 0.094511, 0.117749, 0.000095, 201
2297728, 1.041060, 119.798243, 0.024177, 0.058002, 0.000022, 84
2714707, 1.089240, 120.237618, 0.196586, 0.407102, 0.000070, 180
2575952, 1.235900, 131.357794, 0.486522, 0.496884, 0.000103, 133
2581905, 8.604212, 135.272845, 0.016381, 0.533046, 0.000064, 62
1434660, 4.759218, 121.406733, 0.021833, 0.444297, 0.000050, 122
8197761, 9.868659, 119.262126, 16.300188, 0.025564, 0.005362, 143
2695030, 1.085582, 120.533963, 0.488137, 0.333779, 0.000110, 201
1571717, 1.134725, 120.405317, 0.008312, 0.499353, 0.000013, 185
2694337, 1.831743, 121.055901, 0.054556, 0.473683, 0.000011, 110
2439211, 1.093542, 121.259025, 0.605066, 0.235120, 0.000113, 143
2579147, 2.352825, 131.440243, 0.279853, 0.404425, 0.000148, 139
2707479, 1.249587, 121.039348, 0.621662, 0.004319, 0.000121, 146
2310586, 1.258538, 130.891683, 0.634393, 0.317306, 0.000126, 84
2303365, 1.057100, 121.275082, 0.148012, 0.131843, 0.000059, 103
1577912, 1.124719, 120.617349, 0.103490, 0.588527, 0.000012, 127
2578404, 1.342299, 120.780363, 0.094974, 0.299718, 0.000052, 131
2011424, 1.182429, 119.697961, 0.054986, 0.479209, 0.000031, 139
1163943, 1.070550, 120.639526, 0.189954, 0.363229, 0.000076, 201
2304168, 1.207770, 120.611562, 0.295313, 0.240643, 0.000081, 64
1294670, 1.071069, 120.574270, 0.099759, 0.483540, 0.000051, 188
2162283, 2.363855, 119.295776, 0.531704, 0.258715, 0.000163, 50
1431794, 1.607677, 119.921321, 0.118081, 0.452291, 0.000116, 175
1724961, 1.027207, 121.019147, 0.641912, 0.105351, 0.000114, 137
2571868, 1.074208, 120.604717, 0.087956, 0.223833, 0.000064, 115
2714807, 1.160444, 120.038700, 0.008011, 0.719256, 0.000015, 110
2168333, 1.088710, 120.110671, 0.071981, 0.233777, 0.000039, 132
2853280, 1.017056, 120.096448, 0.007457, 0.665969, 0.000014, 171
1573174, 1.249413, 131.932449, 9.842272, 0.147922, 0.000618, 31
